time (s)	det(V)
429204.430076	0.046578	
429204.432074	0.044360	
429204.434074	0.043832	
429204.436076	0.042850	
429204.438074	0.040322	
429204.440076	0.040312	
429204.442074	0.035312	
429204.446076	0.032758	
429204.448076	0.030962	
429204.450078	0.030189	
429204.452076	0.031497	
429204.454076	0.029893	
429204.456077	0.029359	
429204.458076	0.028082	
429204.462075	0.026163	
429204.466075	0.023303	
429204.468076	0.021183	
429204.470078	0.022896	
429204.472079	0.021453	
429204.474076	0.021152	
429204.476076	0.020143	
429204.480075	0.017981	
429204.482077	0.014867	
429204.484077	0.015881	
429204.488076	0.015867	
429204.490076	0.016162	
429204.492076	0.016700	
429204.494077	0.013656	
429204.496078	0.015591	
429204.498076	0.014617	
429204.500078	0.012715	
429204.504084	0.012635	
429204.506085	0.011941	
429204.508084	0.013506	
429204.510085	0.010551	
429204.512085	0.011784	
429204.514085	0.011572	
429204.516086	0.010631	
429204.518084	0.011791	
429204.520085	0.010137	
429204.522085	0.008684	
429204.526084	0.006942	
429204.528084	0.007954	
429204.530085	0.008626	
429204.532084	0.007764	
429204.534084	0.009320	
429204.536084	0.008842	
429204.540082	0.008958	
429204.544082	0.005291	
429204.546084	0.004541	
429204.548083	0.005895	
429204.550083	0.006100	
429204.552084	0.007194	
429204.554084	0.005338	
429204.558084	0.004965	
429204.560084	0.002022	
429204.562083	0.002603	
429204.566083	0.003415	
429204.568084	0.004705	
429204.570084	0.004019	
429204.572084	0.003008	
429204.574085	0.003404	
429204.576085	0.001889	
429204.578086	0.001180	
429204.582086	-0.000520	
429204.584086	0.000438	
429204.586086	0.001361	
429204.588086	0.001102	
429204.590086	0.003286	
429204.592087	0.000878	
429204.594086	0.000946	
429204.596086	0.001198	
429204.598086	-0.000026	
429204.602095	-0.000103	
429204.604096	0.000363	
429204.606098	0.001237	
429204.608098	0.002087	
429204.610095	0.000900	
429204.612095	0.001077	
429204.614096	0.000629	
429204.618094	0.001325	
429204.620096	-0.000058	
429204.622096	0.001199	
429204.624095	0.001255	
429204.626101	0.000492	
429204.628108	0.000696	
429204.630108	0.001911	
429204.632108	0.001143	
429204.634108	0.002766	
429204.638106	0.003467	
429204.642106	0.001086	
429204.644109	0.000503	
429204.646108	0.001554	
429204.648108	0.001704	
429204.650108	0.002656	
429204.652108	0.002904	
429204.654107	0.001782	
429204.656108	0.002688	
429204.660112	-0.000609	
429204.664113	-0.000596	
429204.666114	0.000784	
429204.668115	0.001909	
429204.670113	0.000993	
429204.672114	0.000982	
429204.676112	0.001668	
429204.678114	-0.001159	
429204.680113	-0.001345	
429204.684114	-0.002255	
